bagId;aansluiting;status;datum
0014100010919542;Elektriciteit;Aanvraag goedgekeurd;27-7-2023 15:50:59
0014100010919752;Elektriciteit;Aanvraag goedgekeurd;27-6-2023 13:22:13
0014100010919752;Warmte;Aanvraag goedgekeurd;27-6-2023 13:22:13
0014100010920607;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:09
0014100010920607;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:09
0014100010920627;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:07
0014100010920795;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:44
0014100010920795;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 14:26:48
0014100010920845;Warmte;Aanvraag ontvangen;11-5-2023 11:32:39
0014100010921016;Warmte;Aanvraag goedgekeurd;14-8-2023 13:38:57
0014100010921016;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 13:38:57
0014100010921590;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010921590;Elektriciteit;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010921591;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:54
0014100010921591;Warmte;Aanvraag ontvangen;4-5-2023 15:14:54
0014100010922882;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010922882;Warmte;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010923097;Warmte;Aanvraag ontvangen;11-5-2023 11:32:41
0014100010923097;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:41
0014100010923200;Warmte;Aanvraag goedgekeurd;3-8-2023 14:12:14
0014100010923200;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 14:12:14
0014100010923259;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 15:12:00
0014100010923259;Warmte;Aanvraag goedgekeurd;3-8-2023 15:12:00
0014100010923259;Warmte;Aanvraag goedgekeurd;3-8-2023 15:12:00
0014100010923259;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 15:12:00
0014100010923651;Warmte;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010923651;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010924090;Elektriciteit;Aanvraag goedgekeurd;2-8-2023 09:31:49
0014100010924651;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010924799;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010924799;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010924831;Warmte;Aanvraag goedgekeurd;1-8-2023 16:51:54
0014100010925043;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:13
0014100010925415;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:02
0014100010925415;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:02
0014100010926674;Elektriciteit;Aanvraag goedgekeurd;22-8-2023 15:23:50
0014100010926674;Warmte;Aanvraag goedgekeurd;22-8-2023 15:23:50
0014100010926823;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:01
0014100010926823;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:01
0014100010927605;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010927605;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010927903;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:13
0014100010927985;Warmte;Aanvraag ontvangen;4-5-2023 15:15:05
0014100010927985;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:15:05
0014100010928142;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:56
0014100010928142;Warmte;Aanvraag ontvangen;4-5-2023 15:14:56
0014100010928200;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:56
0014100010928336;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:45
0014100010928336;Warmte;Aanvraag ontvangen;1-6-2023 10:37:45
0014100010928581;Elektriciteit;Aanvraag goedgekeurd;27-6-2023 13:22:09
0014100010928581;Warmte;Aanvraag goedgekeurd;27-6-2023 13:22:09
0014100010928921;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:51
0014100010929617;Warmte;Aanvraag goedgekeurd;31-7-2023 15:51:53
0014100010929617;Elektriciteit;Aanvraag goedgekeurd;31-7-2023 15:51:53
0014100010930129;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:29:02
0014100010930373;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:34
0014100010930373;Warmte;Aanvraag ontvangen;11-5-2023 11:32:34
0014100010930373;Warmte;Aanvraag goedgekeurd;14-8-2023 11:59:22
0014100010930373;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 11:59:22
0014100010931348;Warmte;Aanvraag goedgekeurd;21-8-2023 09:09:04
0014100010931357;Warmte;Aanvraag ontvangen;15-6-2023 14:13:43
0014100010932125;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:52
0014100010932125;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:52
0014100010932608;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010932608;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010934948;Warmte;Aanvraag ontvangen;4-5-2023 15:15:01
0014100010935046;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 12:01:58
0014100010935046;Warmte;Aanvraag goedgekeurd;3-8-2023 12:01:58
0014100010935151;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:28:58
0014100010935333;Warmte;Aanvraag ontvangen;11-5-2023 11:32:37
0014100010935434;Warmte;Aanvraag goedgekeurd;7-8-2023 10:26:44
0014100010935434;Elektriciteit;Aanvraag goedgekeurd;7-8-2023 10:26:44
0014100010935440;Warmte;Aanvraag ontvangen;4-5-2023 15:15:05
0014100010935475;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:03:58
0014100010935475;Warmte;Aanvraag goedgekeurd;12-7-2023 10:03:58
0014100010936237;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:03:59
0014100010936237;Warmte;Aanvraag goedgekeurd;12-7-2023 10:03:59
0014100010936783;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:00
0014100010936783;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:00
0014100010936788;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010936788;Warmte;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010937221;Warmte;Aanvraag goedgekeurd;14-8-2023 13:38:57
0014100010937221;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 13:38:57
0014100010937364;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:28:58
0014100010937475;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:38
